Concrete,{'Limestone': 3},{'Concrete': 1},
Liquid Biofuel,"{'Solid Biofuel': 6, 'Water': 3}",{'Liquid Biofuel': 4},
Packaged Water,"{'Water': 2, 'Empty Canister': 2}",{'Packaged Water': 2},
Alternate: Polyester Fabric,"{'Polymer Resin': 16, 'Water': 10}",{'Fabric': 1},
Alternate: Steamed Copper Sheet,"{'Copper Ingot': 3, 'Water': 3}",{'Copper Sheet': 3},
Crude Oil,{'Crude Oil': 0},{'Crude Oil': 0},
Plastic,{'Crude Oil': 3},"{'Plastic': 2, 'Heavy Oil Residue': 1}",
Rubber,{'Crude Oil': 3},"{'Rubber': 2, 'Heavy Oil Residue': 2}",
Packaged Oil,"{'Crude Oil': 2, 'Empty Canister': 2}",{'Packaged Oil': 2},
Alternate: Heavy Oil Residue,{'Crude Oil': 3},"{'Heavy Oil Residue': 4, 'Polymer Resin': 2}",
Alternate: Polymer Resin,{'Crude Oil': 6},"{'Polymer Resin': 13, 'Heavy Oil Residue': 2}",
Petroleum Coke,{'Heavy Oil Residue': 4},{'Petroleum Coke': 12},
Residual Fuel,{'Heavy Oil Residue': 6},{'Fuel': 4},
Alternate: Coated Cable,"{'Wire': 5, 'Heavy Oil Residue': 2}",{'Cable': 9},
Packaged Heavy Oil Residue,"{'Heavy Oil Residue': 2, 'Empty Canister': 2}",{'Packaged Heavy Oil Residue': 2},
Alternate: Diluted Packaged Fuel,"{'Heavy Oil Residue': 1, 'Packaged Water': 2}",{'Packaged Fuel': 2},
Alternate: Turbo Heavy Fuel,"{'Heavy Oil Residue': 5, 'Compacted Coal': 4}",{'Turbofuel': 4},
Packaged Fuel,"{'Fuel': 2, 'Empty Canister': 2}",{'Packaged Fuel': 2},
Alternate: Recycled Rubber,"{'Plastic': 6, 'Fuel': 6}",{'Rubber': 12},
Alternate: Recycled Plastic,"{'Rubber': 6, 'Fuel': 6}",{'Plastic': 12},
Turbofuel,"{'Fuel': 6, 'Compacted Coal': 4}",{'Turbofuel': 5},
Packaged Liquid Biofuel,"{'Liquid Biofuel': 2, 'Empty Canister': 2}",{'Packaged Liquid Biofuel': 2},
Packaged Turbofuel,"{'Turbofuel': 2, 'Empty Canister': 2}",{'Packaged Turbofuel': 2},
Aluminum Scrap,"{'Alumina Solution': 4, 'Petroleum Coke': 1}","{'Aluminum Scrap': 6, 'Water': 1}",
Conveyor Pole,"{'Iron Rod': 1, 'Iron Plate': 1, 'Concrete': 1}",{'Conveyor Pole': 1},
Power Pole Mk.1,"{'Wire': 3, 'Iron Rod': 1, 'Concrete': 1}",{'Power Pole Mk.1': 1},
Space Elevator,"{'Concrete': 500, 'Iron Plate': 250, 'Iron Rod': 400, 'Wire': 1500}",{'Space Elevator': 1},
Miner Mk1,"{'Portable Miner': 1, 'Iron Plate': 10, 'Concrete': 10}",{'Miner Mk.1': 1},
Wall Conveyor Perpendicular (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor Perpendicular (Plating)': 1},
Wall Conveyor Perpendicular (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor Perpendicular (Sheet Metal)': 1},
Panel Window (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Panel Window': 1},
Panel Window (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{},
Pipeline Support,"{'Iron Plate': 2, 'Concrete': 2}",{'Pipeline Support': 1},
Encased Industrial Beam,"{'Steel Beam': 4, 'Concrete': 5}",{'Encased Industrial Beam': 1},
Foundry,"{'Modular Frame': 10, 'Rotor': 10, 'Concrete': 20}",{'Foundry': 1},
Encased Uranium Cell,"{'Uranium Pellet': 40, 'Concrete': 9}",{'Encased Uranium Cell': 10},
Nuclear Power Plant,"{'Concrete': 150, 'Heavy Modular Frame': 10, 'Supercomputer': 5, 'Cable': 50, 'High-Speed Connector': 15}",{'Nuclear Power Plant': 1},
Alternate: Heavy Encased Frame,"{'Modular Frame': 8, 'Encased Industrial Beam': 10, 'Steel Pipe': 36, 'Concrete': 22}",{'Heavy Modular Frame': 3},
Alternate: Encased Industrial Pipe,"{'Steel Pipe': 7, 'Concrete': 5}",{'Encased Industrial Beam': 1},
Foundation 8m x 1m,{'Concrete': 6},{'Foundation 8m ': 1},
Foundation 8m x 2m,{'Concrete': 6},{'Foundation 8m ': 1},
Foundation 8m x 4m,{'Concrete': 6},{'Foundation 8m ': 1},
Ramp 8m x 1m,{'Concrete': 3},{'Ramp 8m ': 1},
Ramp 8m x 2m,{'Concrete': 4},{'Ramp 8m ': 1},
Ramp 8m x 4m,{'Concrete': 5},{'Ramp 8m ': 1},
Wall 8m x 4m (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall 8m ': 1},
AWESOME Sink,"{'Reinforced Iron Plate': 15, 'Cable': 30, 'Concrete': 45}",{'AWESOME Sink': 1},
Stackable Conveyor Pole,"{'Iron Rod': 2, 'Iron Plate': 2, 'Concrete': 2}",{'Stackable Conveyor Pole': 1},
Stackable Hyper Tube Support,"{'Iron Plate': 4, 'Iron Rod': 2, 'Concrete': 2}",{'Stackable Hyper Tube Support': 1},
Hyper Tube Support,"{'Iron Plate': 2, 'Concrete': 2}",{'Hyper Tube Support': 1},
Stackable Pipeline Support,"{'Iron Plate': 4, 'Iron Rod': 2, 'Concrete': 2}",{'Stackable Pipeline Support': 1},
Freight Platform,"{'Heavy Modular Frame': 6, 'Computer': 2, 'Concrete': 50, 'Cable': 25, 'Motor': 5}",{'Freight Platform': 1},
Fluid Freight Platform,"{'Heavy Modular Frame': 6, 'Computer': 2, 'Concrete': 50, 'Cable': 25, 'Motor': 5}",{'Fluid Freight Platform': 1},
Empty Platform,"{'Heavy Modular Frame': 6, 'Concrete': 50}",{'Empty Platform': 1},
Train Station,"{'Heavy Modular Frame': 4, 'Computer': 8, 'Concrete': 50, 'Cable': 25}",{'Train Station': 1},
Power Pole Mk.2,"{'Quickwire': 6, 'Iron Rod': 2, 'Concrete': 2}",{'Power Pole Mk.2': 1},
Wall Conveyor x3 (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x3 (Sheet Metal)': 1},
Wall Conveyor x2 (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x2 (Sheet Metal)': 1},
Wall Conveyor x1 (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x1 (Sheet Metal)': 1},
Wall Conveyor x3 (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x3 (Plating)': 1},
Wall Conveyor x2 (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x2 (Plating)': 1},
Wall Conveyor x1 (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Wall Conveyor x1 (Plating)': 1},
Conveyor Wall Mount,"{'Iron Rod': 2, 'Iron Plate': 2, 'Concrete': 2}",{'Conveyor Wall Mount': 1},
Quarter Pipe,{'Concrete': 6},{'Quarter Pipe': 1},
Inverted Quarter Pipe,{'Concrete': 6},{'Inverted Quarter Pipe': 1},
Inner-Corner Quarter Pipe,{'Concrete': 6},{'Inner-Corner Quarter Pipe': 1},
Inverted Inner-Corner Quarter Pipe,{'Concrete': 6},{'Inverted Inner-Corner Quarter Pipe': 1},
Outer-Corner Quarter Pipe,{'Concrete': 6},{'Outer-Corner Quarter Pipe': 1},
Inverted Outer-Corner Quarter Pipe,{'Concrete': 6},{'Inverted Outer-Corner Quarter Pipe': 1},
Down Corner Ramp 8m x 1m,{'Concrete': 2},{'Down Corner Ramp 8m ': 1},
Up Corner Ramp 8m x 1m,{'Concrete': 2},{'Up Corner Ramp 8m ': 1},
Down Corner Ramp 8m x 2m,{'Concrete': 3},{'Down Corner Ramp 8m ': 1},
Up Corner Ramp 8m x 2m,{'Concrete': 3},{'Up Corner Ramp 8m ': 1},
Down Corner Ramp 8m x 4m,{'Concrete': 4},{'Down Corner Ramp 8m ': 1},
Up Corner Ramp 8m x 4m,{'Concrete': 4},{'Up Corner Ramp 8m ': 1},
Center Door Wall (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Center Door Wall (Sheet Metal)': 1},
Left Door Wall (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Left Door Wall (Sheet Metal)': 1},
Right Door Wall (Sheet Metal),"{'Iron Plate': 3, 'Concrete': 3}",{'Right Door Wall (Sheet Metal)': 1},
Center Door Wall (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Center Door Wall (Plating)': 1},
Left Door Wall (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Left Door Wall (Plating)': 1},
Right Door Wall (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Right Door Wall (Plating)': 1},
Gate Wall (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Gate Wall (Plating)': 1},
Pillar Base,{'Concrete': 6},{'Pillar Base': 1},
Pillar Middle,{'Concrete': 6},{'Pillar Middle': 1},
Pillar Top,{'Concrete': 6},{'Pillar Top': 1},
Double Ramp 8m x 8m,{'Concrete': 5},{'Double Ramp 8m ': 1},
Double Ramp 8m x 4m,{'Concrete': 5},{'Double Ramp 8m ': 1},
Double Ramp 8m x 2m,{'Concrete': 5},{'Double Ramp 8m ': 1},
Frame Foundation 8m x 4m,{'Concrete': 6},{'Frame Foundation 8m ': 1},
Glass Foundation 8m x 1m,{'Concrete': 6},{'Glass Foundation 8m ': 1},
Hyper Tube Wall Hole,"{'Iron Plate': 2, 'Concrete': 2}",{'Hyper Tube Wall Hole': 1},
Hyper Tube Wall Support,"{'Iron Plate': 2, 'Concrete': 2}",{'Hyper Tube Wall Support': 1},
Up Corner 8m x 1m Inverted,{'Concrete': 5},{'Up Corner 8m ': 1},
Down Corner 8m x 1m Inverted,{'Concrete': 5},{'Down Corner 8m ': 1},
Up Corner 8m x 2m Inverted,{'Concrete': 5},{'Up Corner 8m ': 1},
Down Corner 8m x 2m Inverted,{'Concrete': 5},{'Down Corner 8m ': 1},
Up Corner 8m x 4m Inverted,{'Concrete': 5},{'Up Corner 8m ': 1},
Down Corner 8m x 4m Inverted,{'Concrete': 5},{'Down Corner 8m ': 1},
Inverted Ramp 8m x 4m,{'Concrete': 5},{'Inverted Ramp 8m ': 1},
Inverted Ramp 8m x 1m,{'Concrete': 5},{'Inverted Ramp 8m ': 1},
Inverted Ramp 8m x 2m,{'Concrete': 5},{'Inverted Ramp 8m ': 1},
Stairs Left,"{'Concrete': 5, 'Iron Plate': 4}",{'Stairs Left': 1},
Stairs Right,"{'Concrete': 5, 'Iron Plate': 4}",{'Stairs Right': 1},
Pipeline Wall Support,"{'Iron Rod': 2, 'Iron Plate': 1, 'Concrete': 2}",{'Pipeline Wall Support': 1},
Pipeline Wall Hole,"{'Iron Rod': 2, 'Iron Plate': 1, 'Concrete': 2}",{'Pipeline Wall Hole': 1},
Single Window (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Single Window': 1},
Frame Window (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Frame Window': 1},
Reinforced Window (Plating),"{'Iron Plate': 3, 'Concrete': 3}",{'Reinforced Window': 1},
Iron Plate,{'Iron Ingot': 3},{'Iron Plate': 2},
Iron Rod,{'Iron Ingot': 1},{'Iron Rod': 1},
Alternate: Coated Iron Plate,"{'Iron Ingot': 10, 'Plastic': 2}",{'Iron Plate': 15},
Alternate: Casted Screw,{'Iron Ingot': 5},{'Screw': 20},
Alternate: Iron Wire,{'Iron Ingot': 5},{'Wire': 9},
Iron FICSMAS Ornament,"{'Blue FICSMAS Ornament': 3, 'Iron Ingot': 3}",{'Iron FICSMAS Ornament': 1},
Copper Sheet,{'Copper Ingot': 2},{'Copper Sheet': 1},
Alclad Aluminum Sheet,"{'Aluminum Ingot': 8, 'Copper Ingot': 3}",{'Alclad Aluminum Sheet': 4},
Alternate: Fused Wire,"{'Copper Ingot': 4, 'Caterium Ingot': 1}",{'Wire': 30},
Alternate: Fused Quckwire,"{'Caterium Ingot': 1, 'Copper Ingot': 5}",{'Quickwire': 12},
Copper FICSMAS Ornament,"{'Red FICSMAS Ornament': 2, 'Copper Ingot': 2}",{'Copper FICSMAS Ornament': 1},
Quickwire,{'Caterium Ingot': 1},{'Quickwire': 5},
Alternate: Steel Canister,{'Steel Ingot': 3},{'Empty Canister': 2},
Alternate: Steel Coated Plate,"{'Steel Ingot': 3, 'Plastic': 2}",{'Iron Plate': 18},
Alternate: Steel Rod,{'Steel Ingot': 1},{'Iron Rod': 4},
Steel Beam,{'Steel Ingot': 4},{'Steel Beam': 1},
Steel Pipe,{'Steel Ingot': 3},{'Steel Pipe': 2},
Alternate: Insulated Crystal Oscillator,"{'Quartz Crystal': 10, 'Rubber': 7, 'A.I. Limiter': 1}",{'Crystal Oscillator': 1},
Crystal Oscillator,"{'Quartz Crystal': 36, 'Cable': 28, 'Reinforced Iron Plate': 5}",{'Crystal Oscillator': 2},
Alternate: Radio Control System,"{'Heat Sink': 10, 'Supercomputer': 1, 'Quartz Crystal': 30}",{'Radio Control Unit': 3},
Alternate: Electrode Circuit Board,"{'Rubber': 6, 'Petroleum Coke': 9}",{'Circuit Board': 1},
Aluminum Ingot,"{'Aluminum Scrap': 12, 'Silica': 7}",{'Aluminum Ingot': 4},
Alternate: Pure Aluminum Ingot,{'Aluminum Scrap': 12},{'Aluminum Ingot': 3},
Alternate: Silicone Circuit Board,"{'Copper Sheet': 11, 'Silica': 11}",{'Circuit Board': 5},
Alternate: Silicone High-Speed Connector,"{'Quickwire': 60, 'Silica': 25, 'Circuit Board': 2}",{'High-Speed Connector': 2},
Alternate: Seismic Nobelisk,"{'Black Powder': 8, 'Steel Pipe': 8, 'Crystal Oscillator': 1}",{'Nobelisk': 4},
Nobelisk,"{'Black Powder': 5, 'Steel Pipe': 10}",{'Nobelisk': 1},
Rifle Cartridge,"{'Beacon': 1, 'Steel Pipe': 10, 'Black Powder': 10, 'Rubber': 10}",{'Rifle Cartridge': 5},
Wall Outlet Mk.1,"{'Wire': 4, 'Iron Rod': 1}",{'Wall Outlet Mk.1': 1},
Smelter,"{'Iron Rod': 5, 'Wire': 8}",{'Smelter': 1},
Cable,{'Wire': 2},{'Cable': 1},
Biomass Burner,"{'Iron Plate': 15, 'Iron Rod': 15, 'Wire': 25}",{'Biomass Burner': 1},
Xeno-Zapper,"{'Iron Rod': 10, 'Reinforced Iron Plate': 2, 'Cable': 15, 'Wire': 50}",{'Xeno-Zapper': 1},
Alternate: Automated Speed Wiring,"{'Stator': 2, 'Wire': 40, 'High-Speed Connector': 1}",{'Automated Wiring': 4},
Stator,"{'Steel Pipe': 3, 'Wire': 8}",{'Stator': 1},
Alternate: Insulated Cable,"{'Wire': 9, 'Rubber': 6}",{'Cable': 20},
Alternate: Stitched Iron Plate,"{'Iron Plate': 10, 'Wire': 20}",{'Reinforced Iron Plate': 3},
Alternate: Steel Rotor,"{'Steel Pipe': 2, 'Wire': 6}",{'Rotor': 1},
M.A.M.,"{'Reinforced Iron Plate': 5, 'Cable': 15, 'Wire': 45}",{'M.A.M.': 1},
Beacon,"{'Iron Plate': 3, 'Iron Rod': 1, 'Wire': 15, 'Cable': 2}",{'Beacon': 1},
Xeno-Basher,"{'Modular Frame': 5, 'Xeno-Zapper': 2, 'Cable': 25, 'Wire': 500}",{'Xeno-Basher': 1},
Double Wall Outlet Mk.1,"{'Wire': 8, 'Iron Rod': 2}",{'Double Wall Outlet Mk.1': 1},
Power Line,{'Cable': 1},{'Power Line': 1},
Constructor,"{'Reinforced Iron Plate': 2, 'Cable': 8}",{'Constructor': 1},
Old Jump Pad,"{'Rotor': 2, 'Iron Plate': 15, 'Cable': 10}",{'Old Jump Pad': 1},
Old Tilted Jump Pad,"{'Rotor': 2, 'Iron Plate': 15, 'Cable': 10}",{'Old Tilted Jump Pad': 1},
Oil Extractor,"{'Motor': 15, 'Encased Industrial Beam': 20, 'Cable': 60}",{'Oil Extractor': 1},
Assembler,"{'Reinforced Iron Plate': 8, 'Rotor': 4, 'Cable': 10}",{'Assembler': 1},
Coal Generator,"{'Reinforced Iron Plate': 20, 'Rotor': 10, 'Cable': 30}",{'Coal Generator': 1},
Manufacturer,"{'Motor': 5, 'Heavy Modular Frame': 10, 'Cable': 50, 'Plastic': 50}",{'Manufacturer': 1},
Computer,"{'Circuit Board': 10, 'Cable': 9, 'Plastic': 18, 'Screw': 52}",{'Computer': 1},
Automated Wiring,"{'Stator': 1, 'Cable': 20}",{'Automated Wiring': 1},
High-Speed Connector,"{'Quickwire': 56, 'Cable': 10, 'Circuit Board': 1}",{'High-Speed Connector': 1},
Conveyor Splitter,"{'Iron Plate': 2, 'Cable': 2}",{'Conveyor Splitter': 1},
Chainsaw,"{'Reinforced Iron Plate': 5, 'Iron Rod': 25, 'Screw': 160, 'Cable': 15}",{'Chainsaw': 1},
Jump Pad,"{'Rotor': 2, 'Iron Plate': 15, 'Cable': 10}",{'Jump Pad': 1},
U-Jelly Landing Pad,"{'Rotor': 2, 'Cable': 20, 'Biomass': 200}",{'U-Jelly Landing Pad': 1},
AWESOME Shop,"{'Screw': 200, 'Iron Plate': 10, 'Cable': 10}",{'AWESOME Shop': 1},
Truck Station,"{'Modular Frame': 15, 'Rotor': 20, 'Cable': 50}",{'Truck Station': 1},
Jetpack,"{'Plastic': 50, 'Circuit Board': 15, 'Rubber': 50, 'Cable': 25}",{'Jetpack': 1},
Parachute,"{'Fabric': 10, 'Cable': 5}",{'Parachute': 5},
Radar Tower,"{'Heavy Modular Frame': 30, 'Crystal Oscillator': 30, 'Beacon': 20, 'Cable': 100}",{'Radar Tower': 1},
Nobelisk Detonator,"{'Object Scanner': 5, 'Encased Industrial Beam': 5, 'Cable': 50}",{'Nobelisk Detonator': 1},
Craft Bench,"{'Iron Plate': 3, 'Iron Rod': 3}",{'Craft Bench': 1},
Equipment Workshop,"{'Iron Plate': 6, 'Iron Rod': 4}",{'Equipment Workshop': 1},
Portable Miner,"{'Iron Plate': 2, 'Iron Rod': 4}",{'Portable Miner': 1},
Screw,{'Iron Rod': 1},{'Screw': 4},
Fence 1,{'Iron Rod': 5},{'Fence': 1},
Modular Frame,"{'Reinforced Iron Plate': 3, 'Iron Rod': 12}",{'Modular Frame': 2},
Rotor,"{'Iron Rod': 5, 'Screw': 25}",{'Rotor': 1},
Lookout Tower,"{'Iron Plate': 5, 'Iron Rod': 5}",{'Lookout Tower': 1},
Conveyor Merger,"{'Iron Plate': 2, 'Iron Rod': 2}",{'Conveyor Merger': 1},
Personal Storage Box,"{'Iron Plate': 6, 'Iron Rod': 6}",{'Personal Storage Box': 1},
Rebar Gun,"{'Reinforced Iron Plate': 6, 'Iron Rod': 16, 'Screw': 100}",{'Rebar Gun': 1},
Spiked Rebar,{'Iron Rod': 1},{'Spiked Rebar': 1},
"Factory Cart�?""{'Reinforced Iron Plate': 4", 'Iron Rod': 4," 'Rotor': 2}""",{'Factory Cart�?: 1}
Ladder,{'Iron Rod': 2},{'Ladder': 1},
Walkway Crossing,"{'Iron Rod': 2, 'Iron Plate': 1}",{'Walkway Crossing': 1},
Walkway Ramp,"{'Iron Rod': 2, 'Iron Plate': 1}",{'Walkway Ramp': 1},
Walkway Straight,"{'Iron Rod': 2, 'Iron Plate': 1}",{'Walkway Straight': 1},
Walkway T-Crossing,"{'Iron Rod': 2, 'Iron Plate': 1}",{'Walkway T-Crossing': 1},
Walkway Turn,"{'Iron Rod': 2, 'Iron Plate': 1}",{'Walkway Turn': 1},
Double Wall Outlet Mk.2,"{'Quickwire': 16, 'Iron Rod': 4}",{'Double Wall Outlet Mk.2': 1},
Wall Outlet Mk.2,"{'Quickwire': 8, 'Iron Rod': 2}",{'Wall Outlet Mk.2': 1},
Reinforced Iron Plate,"{'Iron Plate': 6, 'Screw': 12}",{'Reinforced Iron Plate': 1},
Alternate: Bolted Frame,"{'Reinforced Iron Plate': 3, 'Screw': 56}",{'Modular Frame': 2},
Alternate: Copper Rotor,"{'Copper Sheet': 6, 'Screw': 52}",{'Rotor': 3},
Alternate: Heavy Flexible Frame,"{'Modular Frame': 5, 'Encased Industrial Beam': 3, 'Rubber': 20, 'Screw': 104}",{'Heavy Modular Frame': 1},
Heavy Modular Frame,"{'Modular Frame': 5, 'Steel Pipe': 15, 'Encased Industrial Beam': 5, 'Screw': 100}",{'Heavy Modular Frame': 1},
Alternate: Bolted Iron Plate,"{'Iron Plate': 18, 'Screw': 50}",{'Reinforced Iron Plate': 3},
Object Scanner,"{'Reinforced Iron Plate': 4, 'Beacon': 3, 'Screw': 50}",{'Object Scanner': 1},
Rifle,"{'Steel Pipe': 25, 'Heavy Modular Frame': 3, 'Circuit Board': 20, 'Screw': 250}",{'Rifle': 1},
Conveyor Belt Mk.1,{'Iron Plate': 1},{'Conveyor Belt Mk.1': 1},
Alternate: Adhered Iron Plate,"{'Iron Plate': 3, 'Rubber': 1}",{'Reinforced Iron Plate': 1},
Alternate: Coated Iron Canister,"{'Iron Plate': 2, 'Copper Sheet': 1}",{'Empty Canister': 4},
Conveyor Lift Mk.1,{'Iron Plate': 2},{'Conveyor Lift Mk.1': 1},
Smart Plating,"{'Reinforced Iron Plate': 1, 'Rotor': 1}",{'Smart Plating': 1},
Water Extractor,"{'Copper Sheet': 20, 'Reinforced Iron Plate': 10, 'Rotor': 10}",{'Water Extractor': 1},
Alternate: Plastic Smart Plating,"{'Reinforced Iron Plate': 1, 'Rotor': 1, 'Plastic': 3}",{'Smart Plating': 2},
Alternate: Steeled Frame,"{'Reinforced Iron Plate': 2, 'Steel Pipe': 10}",{'Modular Frame': 3},
Conveyor Belt Mk.2,{'Reinforced Iron Plate': 1},{'Conveyor Belt Mk.2': 1},
Conveyor Lift Mk.2,{'Reinforced Iron Plate': 2},{'Conveyor Lift Mk.2': 1},
Smart Splitter,"{'Reinforced Iron Plate': 2, 'Rotor': 2, 'A.I. Limiter': 1}",{'Smart Splitter': 1},
Cyber Wagon,{'Reinforced Iron Plate': 10},{'Cyber Wagon': 1},
Circuit Board,"{'Copper Sheet': 2, 'Plastic': 4}",{'Circuit Board': 1},
Refinery,"{'Motor': 10, 'Encased Industrial Beam': 10, 'Steel Pipe': 30, 'Copper Sheet': 20}",{'Refinery': 1},
Pipeline Mk.1,{'Copper Sheet': 1},{'Pipeline Mk.1': 1},
Pipeline Junction Cross,{'Copper Sheet': 5},{'Pipeline Junction Cross': 1},
Pipeline Pump Mk.1,"{'Copper Sheet': 2, 'Rotor': 2}",{'Pipeline Pump Mk.1': 1},
Fluid Buffer,"{'Copper Sheet': 10, 'Modular Frame': 5}",{'Fluid Buffer': 1},
A.I. Limiter,"{'Copper Sheet': 5, 'Quickwire': 20}",{'A.I. Limiter': 1},
Alternate: Heat Exchanger,"{'Alclad Aluminum Sheet': 20, 'Copper Sheet': 30}",{'Heat Sink': 7},
Hyper Tube,"{'Copper Sheet': 1, 'Steel Pipe': 1}",{'Hyper Tube': 1},
Pipeline Mk.2,"{'Copper Sheet': 2, 'Plastic': 1}",{'Pipeline Mk.2': 1},
Geothermal Generator,"{'Supercomputer': 8, 'Heavy Modular Frame': 16, 'High-Speed Connector': 16, 'Copper Sheet': 40, 'Rubber': 80}",{'Geothermal Generator': 1},
Conveyor Belt Mk.5,{'Alclad Aluminum Sheet': 1},{'Conveyor Belt Mk.5': 1},
Conveyor Lift Mk.5,{'Alclad Aluminum Sheet': 2},{'Conveyor Lift Mk.5': 1},
Heat Sink,"{'Alclad Aluminum Sheet': 8, 'Rubber': 14}",{'Heat Sink': 2},
Hazmat Suit,"{'Rubber': 50, 'Plastic': 50, 'Alclad Aluminum Sheet': 50, 'Fabric': 50}",{'Hazmat Suit': 1},
Industrial Fluid Buffer,"{'Plastic': 30, 'Heavy Modular Frame': 3}",{'Industrial Fluid Buffer': 1},
Packager,"{'Steel Beam': 20, 'Rubber': 10, 'Plastic': 10}",{'Packager': 1},
Empty Canister,{'Plastic': 2},{'Empty Canister': 4},
Alternate: Caterium Circuit Board,"{'Plastic': 10, 'Quickwire': 30}",{'Circuit Board': 7},
Gas mask,"{'Rubber': 100, 'Plastic': 100, 'Fabric': 100}",{'Gas mask': 1},
Pipeline Pump Mk.2,"{'Motor': 2, 'Encased Industrial Beam': 4, 'Plastic': 8}",{'Pipeline Pump Mk.2': 1},
Supercomputer,"{'Computer': 2, 'A.I. Limiter': 2, 'High-Speed Connector': 3, 'Plastic': 28}",{'Supercomputer': 1},
Valve,"{'Rubber': 4, 'Steel Beam': 4}",{'Valve': 1},
Alternate: Flexible Framework,"{'Modular Frame': 1, 'Steel Beam': 6, 'Rubber': 8}",{'Versatile Framework': 2},
Modular Engine,"{'Motor': 2, 'Rubber': 15, 'Smart Plating': 2}",{'Modular Engine': 1},
Truck,"{'Motor': 8, 'Computer': 10, 'Heavy Modular Frame': 4, 'Rubber': 50, 'Beacon': 10}",{'Truck': 1},
Alternate: Quickwire Cable,"{'Quickwire': 3, 'Rubber': 2}",{'Cable': 11},
